nick,country,teams,maps_played,rounds_played,kd_difference,kd_ratio,total_kills,headshot_percentage,total_deaths,kills_per_round,deaths_per_round
interz,Russia,"['Gambit Youngsters', 'Gambit']",830,22053,-168,0.99,12718,50.1,12886,0.58,0.58
EXUS,Poland,"['PRIDE', 'Izako Boars']",882,23538,-1079,0.93,15251,42.7,16330,0.65,0.69
RIZZZ,Portugal,"['OFFSET', 'Giants']",422,11051,-552,0.93,7027,52,7579,0.64,0.69
LOMME,Denmark,"['North Academy', 'Tricked', 'No Problem!']",623,16172,-532,0.95,10221,42.5,10753,0.63,0.66
Polly,Norway,"['LGB', 'London Conspiracy', 'Apeks']",451,11723,-545,0.93,7542,41.2,8087,0.64,0.69
Ex6TenZ,Belgium,"['Titan', 'LDLC', 'VeryGames', 'G2']",1393,36352,-1064,0.96,22665,41.5,23729,0.62,0.65
ub1que,Russia,"['EPG', 'PiTER', 'Preparation']",491,12691,-496,0.94,8319,41.8,8815,0.66,0.69
Noisia,Australia,"['AVANT', 'Breakaway', 'Dark Sided']",579,15033,-616,0.94,9682,43.7,10298,0.64,0.69
tutehen,Argentina,"['VELOX', 'Isurus', 'Gale Force', 'Miami Flamingos']",447,11563,-394,0.95,7331,46.1,7725,0.63,0.67
ngiN,Turkey,"['Space Soldiers', 'Sangal']",1025,26895,-748,0.96,16499,45.3,17247,0.61,0.64
forget,China,"['5POWER', 'UYA']",442,11512,-734,0.91,7723,50.3,8457,0.67,0.73
Shakezullah,United States,"['Bad News Bears', 'Triumph', 'Singularity', 'iNTACT']",797,20767,-500,0.96,12694,42.7,13194,0.61,0.64
repo,Poland,"['PRIDE', 'ESC', 'AGG', 'Vexed']",505,13254,-657,0.93,8647,46.6,9304,0.65,0.7
neaLaN,Kazakhstan,"['K23', 'Syman']",1043,27804,-1301,0.93,18064,55.9,19365,0.65,0.7
DANZ,Australia,"['Kanga', 'Corvidae', 'AVANT']",391,10173,-620,0.92,6730,42.6,7350,0.66,0.72
emi,Serbia,"['Valiance', 'Binary Dragons', 'iNation']",1067,27762,-1223,0.94,17763,52.2,18986,0.64,0.68
Duplicate,Bulgaria,"['SKADE', 'FATE']",804,21453,-1029,0.93,13549,51.5,14578,0.63,0.68
hutji,Russia,['Vega Squadron'],453,12010,-664,0.92,7719,48.4,8383,0.64,0.7
crisby,Germany,"['ALTERNATE aTTaX', 'EURONICS', 'Unicorns of Love']",1209,31542,-1813,0.92,20610,54.4,22423,0.65,0.71
matty,Poland,"['EC Brugge', 'Izako Boars']",536,14203,-696,0.93,9201,40.6,9897,0.65,0.7
mynio,Poland,"['Wisla Krakow', 'Anonymo']",764,20489,-1233,0.91,13302,44.5,14532,0.65,0.71
SkulL,Australia,"['Genuine', 'Taboo', 'Masterminds', 'Chiefs']",596,15590,-1057,0.91,10266,42.5,11323,0.66,0.73
quix,Sweden,"['Lilmix', 'Vexed', 'Publiclir.se']",929,24614,-1786,0.9,16451,47.2,18234,0.67,0.74
ztr,Sweden,"['Young Ninjas', 'NIP']",381,10224,-571,0.92,6534,51.1,7105,0.64,0.69
kiR,Denmark,['Tricked'],555,14958,-957,0.91,9650,61.5,10607,0.65,0.71
TACO,Brazil,"['GODSENT', 'SK', 'MIBR', 'Liquid', 'Luminosity']",1377,35777,-1327,0.94,21773,50.2,23100,0.61,0.65
aVN,Serbia,"['4glory', 'lvlUP', 'BLUEJAYS', 'Juggernauts']",550,14647,-696,0.93,9305,52.9,10001,0.64,0.68
S0tF1k,Russia,"['Spirit', 'Espada']",1289,33952,-1903,0.92,21364,49.2,23267,0.63,0.69
hitMouse,Belarus,"['Nemiga', 'K29']",538,14028,-625,0.93,8785,49,9410,0.63,0.67
arki,Spain,['SAW'],860,22588,-1190,0.92,14064,52.5,15254,0.62,0.68
Xp3,France,"['Winterfox', 'Denial', 'ELEVATE']",502,13113,-792,0.91,8326,39.7,9118,0.63,0.7
sorrow,Kazakhstan,"['Unique', '100PG']",382,10245,-659,0.91,6548,55.3,7207,0.64,0.7
pNshr,Bulgaria,"['Windigo', 'ex-Outlaws']",595,15532,-809,0.92,9802,43.2,10611,0.63,0.68
MSL,Denmark,"['Dignitas', 'North']",1716,44836,-3251,0.9,28913,39.9,32164,0.64,0.72
SANJI,Uzbekistan,"['Virtus.pro', 'AVANGAR', 'Syman']",743,19879,-998,0.92,12151,62.2,13149,0.61,0.66
akez,Norway,"['777', 'Apeks']",471,12758,-882,0.9,8076,55.2,8958,0.63,0.7
ncl,Mongolia,"['TheMongolz', 'TIGER', 'Mazaalai']",516,13234,-617,0.93,8238,49.1,8855,0.62,0.67
Luz,Poland,"['PRIDE', 'Izako Boars']",650,17062,-971,0.92,10767,48.2,11738,0.63,0.69
Zeus,Ukraine,['Natus Vincere'],1405,37152,-1990,0.92,23470,43.5,25460,0.63,0.69
nak,Brazil,"['Sharks', 'RED Canids']",514,13305,-671,0.92,8158,44.5,8829,0.61,0.66
arya,United States,"['Splyce', '3sUP']",440,11291,-868,0.89,7277,34.9,8145,0.64,0.72
Dav,Serbia,"['Squared', 'ONYX']",439,11340,-752,0.9,7107,41.6,7859,0.63,0.69
karrigan,Denmark,"['FaZe', 'MOUZ', 'TSM']",1972,51662,-3456,0.9,32278,42.9,35734,0.62,0.69
pietola,Finland,['KOVA'],383,10178,-592,0.91,6256,47.1,6848,0.61,0.67
svyat,Russia,"['Hard Legion', 'DreamEaters', 'AVE']",734,19717,-1060,0.92,11975,51.9,13035,0.61,0.66
BTN,Romania,['Nexus'],1053,27584,-2026,0.9,17639,53.9,19665,0.64,0.71
xartE,Finland,"['SJ', 'HAVU', 'ENCE', 'hREDS']",1151,30254,-1635,0.92,18341,37.1,19976,0.61,0.66
tecek,Poland,"['Izako Boars', 'x-kom', 'VenatoreS']",376,9987,-838,0.88,6383,38.1,7221,0.64,0.72
LEGIJA,Germany,"['BIG', 'MOUZ', 'NRG']",869,22614,-1671,0.9,14245,49.8,15916,0.63,0.7
roman,Belarus,"['Nemiga', 'K29']",414,10880,-664,0.91,6787,55,7451,0.62,0.68
Shara,Ukraine,"[""spray'n'pray"", 'FlipSid3']",383,9929,-742,0.9,6329,51.8,7071,0.64,0.71
wayLander,Russia,"['FlipSid3', 'pro100', 'Winstrike']",794,20857,-1715,0.89,13258,51.8,14973,0.64,0.72
BONA,Finland,"['SJ', 'VITALIS', 'hREDS']",476,12674,-943,0.89,7931,52.1,8874,0.63,0.7
sAw,Finland,"['HAVU', 'iGame.com', 'RCTIC']",1267,33681,-2108,0.91,20522,47.9,22630,0.61,0.67
kRYSTAL,Germany,"['PENTA', 'ALTERNATE aTTaX', 'GODSENT']",1858,48588,-3407,0.9,29419,36.7,32826,0.61,0.68
MiGHTYMAX,United Kingdom,['Endpoint'],1163,30802,-2009,0.9,18176,49.2,20185,0.59,0.66
ben1337,United States,"['Party Astronauts', 'New England Whalers', 'High Coast']",910,23752,-1737,0.89,14572,46.7,16309,0.61,0.69
crush,Ukraine,"['pro100', 'Vega Squadron', 'HellRaisers']",729,19205,-1467,0.89,11789,52.5,13256,0.61,0.69
balblna,Russia,"['Quantum Bellator Fire', 'Winstrike']",611,16017,-1233,0.89,9791,49.8,11024,0.61,0.69
sycrone,Denmark,"['Sprout', 'North Academy', 'Tricked', 'Team123']",553,14608,-978,0.9,8771,41.1,9749,0.6,0.67
nkl,Bulgaria,"['E-frag.net', 'GPlay', 'MK', 'Orbit']",642,16554,-1046,0.91,9990,42.9,11036,0.6,0.67
hooch,Russia,"['EPG', 'Gambit']",894,23450,-1802,0.89,14410,41.8,16212,0.61,0.69
Golden,Sweden,"['fnatic', 'fnatic Academy', 'Cloud9']",872,23212,-2006,0.88,14225,53.5,16231,0.61,0.7
lunAtic,Poland,['PACT'],881,23964,-1709,0.9,14608,38.8,16317,0.61,0.68
Adam9130,United Kingdom,"['Into the Breach', 'GamerLegion', 'Vexed']",435,11715,-1074,0.87,7370,40.1,8444,0.63,0.72
FNS,Canada,"['CLG', 'TSM']",953,25080,-1794,0.89,15287,45.9,17081,0.61,0.68
spiker,Russia,"['Monolith', 'PiTER', 'Empire', 'Rebels']",415,10974,-974,0.88,6837,42.7,7811,0.62,0.71
JiNKZ,France,"['3DMAX', 'Heretics']",542,14411,-1193,0.88,8657,53.5,9850,0.6,0.68
MAiNLiNE,United States,"['Enemy', 'Selfless', 'eUnited', 'Method']",437,11092,-1064,0.87,6904,51.7,7968,0.62,0.72
Psycho,Ukraine,"['Run or Die', 'Project X', 'CR4ZY', 'Akuma', 'Windigo Academy']",500,13349,-1069,0.88,8093,52.2,9162,0.61,0.69
pronax,Sweden,"['fnatic', 'GODSENT']",1199,31403,-2267,0.89,18722,45.8,20989,0.6,0.67
Polen,United States,['Mythic'],435,11470,-978,0.88,7017,53.3,7995,0.61,0.7
ScrunK,Germany,"['ALTERNATE aTTaX', 'expert', 'EURONICS']",905,24046,-2454,0.86,14695,46.5,17149,0.61,0.71
Lambert,France,"['LDLC', 'EnVyUs Academy']",775,20411,-1581,0.88,11962,37.1,13543,0.59,0.66
LeX,United States,"['Mythic', 'Winterfox', 'Luminosity']",463,11937,-1263,0.85,7418,44.7,8680,0.62,0.73
torben,Denmark,['Fragsters'],532,13939,-1196,0.87,8176,49.5,9372,0.59,0.67
JD,Australia,"['madlikewizards', 'Athletico', 'TRUCKERS WITH ATTITUDE', 'Airborne', 'Noxide']",374,9620,-1105,0.85,6071,47,7176,0.63,0.75
seang@res,United States,"['Cloud9', 'Misfits', 'Echo Fox']",713,18391,-1629,0.87,10904,40.2,12533,0.59,0.68
daps,Canada,"['NRG', 'OpTic', 'Gen.G']",1075,28101,-2364,0.87,16274,40.2,18638,0.58,0.66
advent,China,"['ViCi', 'VG.CyberZen']",1066,27341,-2008,0.88,15322,49.9,17330,0.56,0.63
flowsicK,United States,"['Denial', 'Winterfox', 'Liquid']",395,10074,-1047,0.86,6257,47.4,7304,0.62,0.73
birdfromsky,Denmark,"['ECSTATIC', 'Lyngby Vikings']",767,20594,-1977,0.86,12296,41.8,14273,0.6,0.69
BERRY,Denmark,"['Ambush', 'OPAA']",801,20959,-2342,0.85,12969,38,15311,0.62,0.73
nawrot,Poland,"['AVEZ', 'Izako Boars']",603,16182,-1737,0.85,9764,47.1,11501,0.6,0.71
HooXi,Denmark,['Copenhagen Flames'],786,20907,-2132,0.85,12188,49.7,14320,0.58,0.68
def,Ukraine,"['pro100', 'ACG']",605,15797,-1593,0.85,9243,41.8,10836,0.59,0.69
djL,Sweden,"['Chaos', 'Japaleno', 'Red Reserve']",688,18180,-1735,0.86,10263,47.3,11998,0.56,0.66
Devilwalk,Sweden,"['fnatic', 'Epsilon']",400,10494,-1101,0.85,6122,51.3,7223,0.58,0.69
Twista,Finland,"['RCTIC', 'iGame.com', 'LGR']",380,9970,-1149,0.84,5863,35.9,7012,0.59,0.7
gob b,Germany,"['BIG', 'MOUZ', 'NRG']",975,25707,-2811,0.84,14445,48.5,17256,0.56,0.67
Slemmy,United States,"['Complexity', 'Cloud9', 'Selfless']",445,11663,-1313,0.83,6638,49.6,7951,0.57,0.68
SolEk,Switzerland,"['ALTERNATE aTTaX', 'Berzerk']",377,9498,-1285,0.81,5586,49.5,6871,0.59,0.72
PASHANOJ,Russia,"['Unique', 'ex-ETHEREAL']",599,15675,-2251,0.8,9147,53.5,11398,0.58,0.73
B1ad3,Ukraine,['FlipSid3'],899,23232,-3408,0.8,13472,41.9,16880,0.58,0.73
netrick,Denmark,"['AGF', 'unknown', 'LPSP', 'Forcebuy']",455,11976,-1736,0.8,6753,48.2,8489,0.56,0.71
HUNDEN,Denmark,"['Tricked', 'ALTERNATE aTTaX']",1578,41153,-6238,0.78,22470,48.7,28708,0.55,0.7
RuFire,Russia,"['SG.pro', '5balls', 'VP.Prodigy']",384,10185,-1927,0.74,5579,47.9,7506,0.55,0.74
OCEAN,Canada,"['subtLe', 'SKDC', 'Splyce']",410,10602,-1962,0.74,5530,44.3,7492,0.52,0.71
